sample_id,router_name,budget,domain,ocr_text,vlm_raw_output,final_text,gt,backfill_status,backfill_reason,edit_distance_ocr,edit_distance_final,delta_edit_distance,vlm_model
GeoP0199_L074,WUR,0.2,geology,(4个)顺层~,(24)顺层~,(24)顺层~,(4个)顺层~,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L095,WUR,0.2,geology,覆构造),覆褶皱),覆褶皱),覆构造),accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L098,WUR,0.2,geology,追踪利用、改造(被的早),追踪利用、改造(补写的),追踪利用、改造(补写的),{追踪，利用，改造（被..的早）,accepted,accepted,5,7,2,gemini:gemini-3-flash-preview
GeoP0199_L111,WUR,0.2,geology,如地层关系的变化,如，地层关系的变化,如，地层关系的变化,如地层关系的变化,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0200_L044,WUR,0.2,geology,羽状节理与主断层所交,羽状节理与主断层斜交,羽状节理与主断层斜交,羽状节理与主断层所交,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0201_L020,WUR,0.2,geology,正断：拉开形成,正断层：拉开形成,正断层：拉开形成,正断：拉开形成,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0208_L009,WUR,0.2,geology,的水分,全水分,全水分,的水分,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0211_L028,WUR,0.2,geology,(3)负偏分布，(s<0，系列出现小于均值的机会比大于均值的机会少,(3)负偏分布，Cs < 0，系列出现小于均值的机会比大于均值的机会少,(3)负偏分布，Cs < 0，系列出现小于均值的机会比大于均值的机会少,(3)负偏分布，Cs<0，系列出现小于均值的机会比大于均值的机会少,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0212_L012,WUR,0.2,geology,(3)结论,3)结论,3)结论,(3)结论,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0216_L002,WUR,0.2,geology,(3)暴雨强度(认)相对均匀，点雨量与面雨量接近,(3)暴雨强度(分布)相对均匀，点雨量与面雨量接近,(3)暴雨强度(分布)相对均匀，点雨量与面雨量接近,(3)暴雨强度(i)相对均匀，点雨量与面雨量接近,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0217_L024,WUR,0.2,geology,1.长石类(k.Na.Ca的铝硅酸盐),"1.长石类(K,Na,Ca的铝硅酸盐)","1.长石类(K,Na,Ca的铝硅酸盐)",1.长石类(k.Na.Ca的铝硅酸盐),accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
GeoP0217_L034,WUR,0.2,geology,利余AbO3,利余Al2O3,利余Al2O3,利余AbO₃,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0218_L003,WUR,0.2,geology,钾K石>,钾K长石,钾K长石,钾长石>,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0219_L009,WUR,0.2,geology,中性市,中生界,中生界,中性岩,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0219_L027,WUR,0.2,geology,以溶解为主,以溶蚀为主,以溶蚀为主,以溶解为主,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0219_L035,WUR,0.2,geology,具有板理.片理、薄层理石,具有板理、片理、薄层理者,具有板理、片理、薄层理者,具有板理·片理、薄层理岩石,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0221_L004,WUR,0.2,geology,自形自形/半自形/他形,自形 自形/半自形/他形,自形 自形/半自形/他形,'自形自形/半自形/他形,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0221_L014,WUR,0.2,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中。,同生矿床：矿体与围岩在同一地质作用中。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0222_L013,WUR,0.2,geology,二、易需保成矿因素,二、影响成矿因素,二、影响成矿因素,二、易聚体成矿因素,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0232_L001,WUR,0.2,geology,矿床学复习草稿第二章,矿床学复习提纲第二章,矿床学复习提纲第二章,矿床学复习草稿第二章,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0236_L020,WUR,0.2,geology,成方式。,成元式-,成元式-,成立式.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0241_L015,WUR,0.2,geology,四个仿锤型轨道,四个纺锤型轨迹,四个纺锤型轨迹,四个仿锤型轨道,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0243_L004,WUR,0.2,geology,厚：：1.3-3.5m,层厚：1.3~3.5m,层厚：1.3~3.5m,"中厚：：1.3～3.5m
",accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
GeoP0243_L006,WUR,0.2,geology,投影所的,受影响的,受影响的,投影下F的方向,accepted,accepted,4,5,1,gemini:gemini-3-flash-preview
GeoP0243_L015,WUR,0.2,geology,通常层乘,逆断层厚,逆断层厚,通常层状,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
FinP0172_L034,WUR,0.2,finance,币，货币天然，是,金，银天然，是,金，银天然，是,币，货币天然是,accepted,accepted,1,4,3,gemini:gemini-3-flash-preview
FinP0177_L003,WUR,0.2,finance,(2)票面利率,12)层面斜率,12)层面斜率,（2）票面利率,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
FinP0177_L004,WUR,0.2,finance,(3)债券期限,(3)使用期限,(3)使用期限,(３)债券期限,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
FinP0179_L040,WUR,0.2,finance,发行）③中间发行,发射）③中间发射,发射）③中间发射,发行)③中间发行:,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
FinP0184_L007,WUR,0.2,finance,人民币个就是升值,人民币升值就是升值,人民币升值就是升值,人民币↑就是升值,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
FinP0189_L017,WUR,0.2,finance,现货：当场/天内买方付款.卖,现货：当场10天内买方付款，卖,现货：当场10天内买方付款，卖,现货：当场|n天内买方付款.卖方,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0195_L001,WUR,0.2,finance,②货币互换,②深井互换,②深井互换,②货币互换,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
FinP0200_L011,WUR,0.2,finance,在金融领域的应用场景,在金属领域的应用场景,在金属领域的应用场景,在金融领域的应用场景,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
FinP0201_L002,WUR,0.2,finance,“特殊的金融企业”,“特殊的金属矿床”,“特殊的金属矿床”,“特殊的金融企业”,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
FinP0201_L051,WUR,0.2,finance,4.货币乘数,4.质量系数,4.质量系数,4.货币乘数,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
FinP0201_L057,WUR,0.2,finance,活期存款总额.,活期存蓄量总额.,活期存蓄量总额.,活期存款总额.,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
FinP0204_L028,WUR,0.2,finance,[费雪效应],[馈电效应],[馈电效应],[费雪效应],accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
FinP0204_L057,WUR,0.2,finance,信券空向,信号定向,信号定向,债券票面,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0204_L075,WUR,0.2,finance,=)持有期收益率=105=,二)持有期收益率=105=,二)持有期收益率=105=,=>持有期收益率:105:,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0205_L002,WUR,0.2,finance,1:要素：①期限,1要素：①期限,1要素：①期限,1：要素：①期限,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
FinP0205_L025,WUR,0.2,finance,(1)：不付现金红利，一年后价格变为22，20，18.时，投资收益率为？,(1)：不付现金红利，一年后价格变为22，20，18时，投资收益率为？,(1)：不付现金红利，一年后价格变为22，20，18时，投资收益率为？,(1):不付现金红利，一年后价格变为22，20，18.时，投资收益率为？,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
FinP0206_L006,WUR,0.2,finance,(3)流动性陷阱,(3)岩性陷阱,(3)岩性陷阱,(3)流动性陷阱,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
FinP0208_L009,WUR,0.2,finance,借款期限和风险期限长，风险大，利率高,勘探期限和风险期限长，风险大，利率高,勘探期限和风险期限长，风险大，利率高,借款期限和风险期限长，风险大，利率高，,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
MedP0201_L025,WUR,0.2,medicine,无肾买质改变,无明显质改变,无明显质改变,无肾实质政变,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0201_L039,WUR,0.2,medicine,血性腹水,岩性脆性,岩性脆性,血性腹水,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
MedP0201_L041,WUR,0.2,medicine,SABG>因为是高,SAGD>因为是高丘,SAGD>因为是高丘,SADG>11.因为是高压,accepted,accepted,5,6,1,gemini:gemini-3-flash-preview
MedP0204_L017,WUR,0.2,medicine,股滑体长轴,般滑体长轴,般滑体长轴,股骨体长轴,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0206_L031,WUR,0.2,medicine,顺钟向转房,顺钟向转层,顺钟向转层,顺钟向转房,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0206_L032,WUR,0.2,medicine,可段可压低,可锻可延,可锻可延,ST锻可压低,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
MedP0210_L105,WUR,0.2,medicine,7.高血压急症三联征：,7.高压急症三联征：,7.高压急症三联征：,7.高血压急症三联征：,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0218_L032,WUR,0.2,medicine,肝一木（子),附一本（子),附一本（子),肝—木(子),accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
MedP0222_L018,WUR,0.2,medicine,CB(结合胆红素,CB(结合胆红素),CB(结合胆红素),CB(结合胆红素,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0222_L039,WUR,0.2,medicine,美胆素(颜色,基质素(颜色),基质素(颜色),粪胆素(颜色,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
MedP0224_L006,WUR,0.2,medicine,2.静息电位水平.,2.静自电位水平.,2.静自电位水平.,2.静息电位水平.,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0225_L033,WUR,0.2,medicine,3、胆汁酸,3、胆甾酸,3、胆甾酸,36、胆汁酸：,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0228_L012,WUR,0.2,medicine,洋地黄特别适用于,详地质特别适用于,详地质特别适用于,洋地黄特别适用于,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
MedP0234_L029,WUR,0.2,medicine,狼疮抗凝物。(相毒）,狼疮抗凝物。(筛选）,狼疮抗凝物。(筛选）,狼疮抗凝物.(梅毒),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0235_L020,WUR,0.2,medicine,(酸性结合OH-带负电)两个-COOH,(碱性结合OH-带负电)两个-COOH,(碱性结合OH-带负电)两个-COOH,(酸性结合OH⁻带负电)两个-COOH,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0238_L025,WUR,0.2,medicine,脾、肝均有.,膨、胀均有.,膨、胀均有.,脾、肝均有.,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
MedP0240_L044,WUR,0.2,medicine,①中枢神经系统知病,①中枢神经系统诊断,①中枢神经系统诊断,①中枢神经系统疾病,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0242_L004,WUR,0.2,medicine,(一) 生理特性,(一) 物理特性,(一) 物理特性,(一)生理特性,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0247_L025,WUR,0.2,medicine,1、一般形态：(1)椎体,一、一般形态：(1)椎体,一、一般形态：(1)椎体,1、一般形态：(1)椎体,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0249_L046,WUR,0.2,medicine,肩关节、肘关节.,肩关节、肘关节、,肩关节、肘关节、,肩关节.肘关节.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0199_L011,DGCR,0.2,geology,{深部 韧性剪切带,{深部 韧性剪切带},{深部 韧性剪切带},{深部韧性剪切带,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0199_L111,DGCR,0.2,geology,如地层关系的变化,如，地层关系的变化,如，地层关系的变化,如地层关系的变化,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0200_L006,DGCR,0.2,geology,①根据地层的新老关系.(适用于走向断层),① 根据地层的新老关系，(适用于走向断层),① 根据地层的新老关系，(适用于走向断层),①根据地层的新老关系.(适用于走向断层),accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0200_L044,DGCR,0.2,geology,羽状节理与主断层所交,羽状节理与主断层斜交,羽状节理与主断层斜交,羽状节理与主断层所交,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0202_L024,DGCR,0.2,geology,(3)给水性：给水度M,(B)给水性；给水度μ,(B)给水性；给水度μ,(3)给水性：给水度μ,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0207_L014,DGCR,0.2,geology,含水层入渗系数,含水层渗透系数,含水层渗透系数,含水层入渗系数,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0207_L037,DGCR,0.2,geology,弹性给水度,弹性释水度,弹性释水度,3弹性给水度,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0208_L012,DGCR,0.2,geology,(2)含水层由于骨架变形空隙变小而被挤出来的重力水,(2)含水层由于骨架变形孔隙变小而被挤出来的重力水,(2)含水层由于骨架变形孔隙变小而被挤出来的重力水,(2)含水层由于骨架变形空隙变小而被挤出来的重力水,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0212_L004,DGCR,0.2,geology,2.Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,2. Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,2. Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,2.Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0217_L024,DGCR,0.2,geology,1.长石类(k.Na.Ca的铝硅酸盐),1.长石类(K.Na.Ca的铝硅酸盐),1.长石类(K.Na.Ca的铝硅酸盐),1.长石类(k.Na.Ca的铝硅酸盐),accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0218_L031,DGCR,0.2,geology,一般情况下.只发生机械破碎，而无化学分解.,一般情况下，只发生机械破碎，而无化学分解。,一般情况下，只发生机械破碎，而无化学分解。,"一般情况下.只发生机械破碎,而无化学分解.",accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0218_L032,DGCR,0.2,geology,酸性质—高岭石,介质—高岭石`,介质—高岭石`,酸性介质—高岭石,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0219_L035,DGCR,0.2,geology,具有板理.片理、薄层理石,具有板理、片理、薄层理的,具有板理、片理、薄层理的,具有板理·片理、薄层理岩石,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0221_L014,DGCR,0.2,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中。,同生矿床：矿体与围岩在同一地质作用中。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0222_L013,DGCR,0.2,geology,二、易需保成矿因素,二、显著的成矿因素,二、显著的成矿因素,二、易聚体成矿因素,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0228_L027,DGCR,0.2,geology,① Fe：山东金岭镇铁矿床、湖北大冶铁矿床,① Fe：山东金岭铁矿床、湖北大冶铁矿床,① Fe：山东金岭铁矿床、湖北大冶铁矿床,①Fe: 山东金岭镇铁矿床、湖北大冶铁矿床,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0229_L013,DGCR,0.2,geology,③、浅度深，距原生岩石或矿体近，作为原生矿床的直接而有效的找矿标志。,③、埋藏浅，距原生岩石或矿体近，作为原生矿床的直接而有效的找矿标志。,③、埋藏浅，距原生岩石或矿体近，作为原生矿床的直接而有效的找矿标志。,"③、浅度深,距原生岩石或矿体近,作为原生矿床的直接而有效的找矿标志，",accepted,accepted,1,4,3,gemini:gemini-3-flash-preview
GeoP0231_L015,DGCR,0.2,geology,P：江苏海州磷矿床,P₂江苏海州磷矿床,P₂江苏海州磷矿床,P：江苏海州磷矿床,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0232_L012,DGCR,0.2,geology,相互的结合关系等所反映的形态特征.主要决定于矿粒形成条件，研究矿,相互的结合关系等所反映的形态、特征.主要决定于矿粒形成条件，研究矿,相互的结合关系等所反映的形态、特征.主要决定于矿粒形成条件，研究矿,相互的结合关系等所反映的形态特征.主要决定于矿粒形成条件，研究矿,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0232_L020,DGCR,0.2,geology,·矿体：组成矿床的基本单位，是矿石在三维空间的堆积体，占有一定空间,.矿体：组成矿床的基本单位，是矿石在三维空间的堆积体，占有一定空间,.矿体：组成矿床的基本单位，是矿石在三维空间的堆积体，占有一定空间,·矿体：组成矿床的基本单位，是矿石在三维空间的堆积体，占有一定空间，,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0233_L008,DGCR,0.2,geology,·浓度克拉克值：某一元素在特定地质体中的含量与其克拉克值的比值、,",浓度克拉克值：某一元素在特定地质体中的含量与其克拉克值的比值.",",浓度克拉克值：某一元素在特定地质体中的含量与其克拉克值的比值.",·浓度克拉克值：某一元素在特定地质体中的含量与其克拉克值的比值、,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0233_L026,DGCR,0.2,geology,4.元素分布规律对影响矿床形成的意义：,4.元素分布规律对研究矿床形成的意义：,4.元素分布规律对研究矿床形成的意义：,4、元素分布规律对影响矿床形成的意义：,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0235_L030,DGCR,0.2,geology,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛等挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛及挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛及挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛等挥发分，,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0236_L004,DGCR,0.2,geology,岩矿庭床。此阶段成岩与成矿同步发生。,岩矿同生。此阶段成岩与成矿同步发生。,岩矿同生。此阶段成岩与成矿同步发生。,岩矿床。此阶段成岩与成矿同步发生.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0236_L011,DGCR,0.2,geology,③、矿体形态：a、上悬矿体底部层状矿体，脉状矿体b.岩矿同体矿体，纯硫化物,③、矿体形态：a、上悬矿体、底部层状矿体、脉状矿体 b.岩矿同体矿体，纯硫化物,③、矿体形态：a、上悬矿体、底部层状矿体、脉状矿体 b.岩矿同体矿体，纯硫化物,"③、矿体形态、a.上悬矿体、底部层状矿体,脉状矿体b.岩矿同体矿体,纯硫化物",accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
GeoP0238_L007,DGCR,0.2,geology,①、元素种类多样②、矿物成分多达300种以上,①、元素种类多样 ②、矿物成分多达300种以上,①、元素种类多样 ②、矿物成分多达300种以上,①、元素种类多样②、矿物成分多达300种以上,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0240_L008,DGCR,0.2,geology,交换，而主要由于物理化学条件改变，引起沉淀物质直接淀沉于所在的构造,交换，而主要由于物理化学条件改变，引起沉淀物质便直接淀沉于所在的构造,交换，而主要由于物理化学条件改变，引起沉淀物质便直接淀沉于所在的构造,交换，而主要由于物理化学条件改变，引起沉淀物质直接淀沉于所在的构造,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0240_L012,DGCR,0.2,geology,·云英岩化、花岗岩类岩石中，高温蚀变产生玉主要由白云母、石英组合的岩石。,",云英岩化:花岗岩类岩石中，高温蚀变产生的主要由白云母、石英组合的岩石。",",云英岩化:花岗岩类岩石中，高温蚀变产生的主要由白云母、石英组合的岩石。","·云英岩化、花岗岩类岩石中,高温蚀变产生主要由白云母、石英组合的岩石.",accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0240_L020,DGCR,0.2,geology,②、构造是成矿热液运移通道和成矿物质沉淀富集场所，受构造的间些性,②、构造是成矿热液运移通道和成矿物质沉淀富集场所，受构造的间歇性,②、构造是成矿热液运移通道和成矿物质沉淀富集场所，受构造的间歇性,③、构造是成矿热液运移通道和成矿物质沉淀富集场所，受构造的间些性,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0200_L031,DGCR,0.2,medicine,新亚甲蓝WHO推荐使用,新亚甲蓝 WHO推荐使用,新亚甲蓝 WHO推荐使用,新亚甲蓝WHO推荐使用,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0218_L001,DGCR,0.2,medicine,脑：△元神之府.主宰生命、精神.感觉运动,脑：△元神之府.主宰生命、精神.感觉运动 },脑：△元神之府.主宰生命、精神.感觉运动 },脑：△元神之府．主宰生命、精神、感觉运动）,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
MedP0222_L018,DGCR,0.2,medicine,CB(结合胆红素,CB(结合胆红素),CB(结合胆红素),CB(结合胆红素,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0222_L064,DGCR,0.2,medicine,生态：生长抑系，奥曲肽(收缩内脏血管),止血：生长抑素，奥曲肽(收缩内脏血管),止血：生长抑素，奥曲肽(收缩内脏血管),生态：生长抑素，奥曲肽(收缩内脏血管),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0225_L036,DGCR,0.2,medicine,即胆汁酸盐，可胆汁酸盐，简称胆盐。,即胆汁酸盐，或胆汁酸盐。简称胆盐。,即胆汁酸盐，或胆汁酸盐。简称胆盐。,即胆汁酸盐，即胆汁酸盐，简称胆盐。,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0225_L049,DGCR,0.2,medicine,催化下，与葡萄酸基结合，变生成结合胆红素,催化下，与葡萄糖醛酸基结合，转变生成结合胆红素,催化下，与葡萄糖醛酸基结合，转变生成结合胆红素,催化下，与葡萄酸基结合，转变生成结合胆红素,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0228_L012,DGCR,0.2,medicine,洋地黄特别适用于,详地质特别适用于,详地质特别适用于,洋地黄特别适用于,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
MedP0229_L002,DGCR,0.2,medicine,(一)人体细胞的形态,(一)人体细胞的研究,(一)人体细胞的研究,(一)人体细胞的形态,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
MedP0234_L029,DGCR,0.2,medicine,狼疮抗凝物。(相毒）,狼疮抗凝物。(筛查）,狼疮抗凝物。(筛查）,狼疮抗凝物.(梅毒),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0238_L001,DGCR,0.2,medicine,运化水谷：脾为“后天之本，气血生化之源”：食物消化吸收,/运化水谷：脾为“后天之本，气血生化之源”；食物消化吸收,/运化水谷：脾为“后天之本，气血生化之源”；食物消化吸收,运化水谷：脾为“后天之本，气血生化之源”：食物消化吸收,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
MedP0243_L012,DGCR,0.2,medicine,1.骨迷路：耳蜗、前庭.骨半规管,1.骨迷路：耳蜗、前庭、骨半规管,1.骨迷路：耳蜗、前庭、骨半规管,1.骨迷路:耳蜗.前庭.骨半规管.,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0199_L095,DWUR,0.2,geology,覆构造),覆褶皱),覆褶皱),覆构造),accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0200_L042,DWUR,0.2,geology,个是流动阶段,一个是流动阶段,一个是流动阶段,个是流动阶段,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0200_L044,DWUR,0.2,geology,羽状节理与主断层所交,羽状节理与主断层斜交,羽状节理与主断层斜交,羽状节理与主断层所交,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0200_L070,DWUR,0.2,geology,滑劈理(褶劈理),滑劈理(褶皱劈理),滑劈理(褶皱劈理),{滑劈理(褶劈理),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0200_L075,DWUR,0.2,geology,依据劈理域,依据层劈理域,依据层劈理域,依据劈理域,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0202_L024,DWUR,0.2,geology,(3)给水性：给水度M,(B)给水性；给水度μ,(B)给水性；给水度μ,(3)给水性：给水度μ,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0203_L010,DWUR,0.2,geology,(4)当隔水层分布较广时可作为小型生活水源,(4)当含水层分布较广时可作为小型生活水源。,(4)当含水层分布较广时可作为小型生活水源。,(4)当隔水层分布较广时可作为小型生活水源,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0206_L026,DWUR,0.2,geology,时间配线法.,时间剖面法.,时间剖面法.,时间配线法.,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0206_L029,DWUR,0.2,geology,时间距离配线法,时间距离曲线法,时间距离曲线法,时间距离配线法,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0207_L014,DWUR,0.2,geology,含水层入渗系数,含水层渗透系数,含水层渗透系数,含水层入渗系数,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0207_L037,DWUR,0.2,geology,弹性给水度,弹性释水度,弹性释水度,3弹性给水度,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0208_L009,DWUR,0.2,geology,的水分,全水分,全水分,的水分,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0212_L004,DWUR,0.2,geology,2.Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,2. Cs越大，频率曲线上端越陡，中段曲率变大，下端变平缓,2. Cs越大，频率曲线上端越陡，中段曲率变大，下端变平缓,2.Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
GeoP0215_L014,DWUR,0.2,geology,(1)同频率放大法：要求放大后的设计洪水过程线的峰和不同时段的,(1)同频率放大法：要求放大后的设计洪水过程线的洪峰和不同时段的,(1)同频率放大法：要求放大后的设计洪水过程线的洪峰和不同时段的,(1)同频率放大法：要求放大后的设计洪水过程线的峰和不同时段的,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0217_L010,DWUR,0.2,geology,物理风化作用：只发生机械破碎而化学成分未改变的风化作用只暗碎,物理风化作用：只发生机械破碎而化学成分未改变的风化作用 只崩碎。,物理风化作用：只发生机械破碎而化学成分未改变的风化作用 只崩碎。,物理风化作用：只发生机械破碎而化学成分未改变的风化作用只嚼碎了,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0218_L003,DWUR,0.2,geology,钾K石>,钾K长石,钾K长石,钾长石>,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0218_L031,DWUR,0.2,geology,一般情况下.只发生机械破碎，而无化学分解.,一般情况下，只发生机械破碎，而无化学分解。,一般情况下，只发生机械破碎，而无化学分解。,"一般情况下.只发生机械破碎,而无化学分解.",accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
